7/18/2021 8:19:02 AM /TELEPLOC a x:1015 Y:966 Map:1
7/18/2021 8:19:03 AM /TELEPLOC a x:1015 Y:966 Map:1
7/18/2021 8:19:04 AM /TELEPLOC a x:1015 Y:966 Map:1
7/18/2021 8:19:04 AM /TELEPLOC a x:1015 Y:966 Map:1
7/18/2021 8:19:05 AM /TELEPLOC a x:1015 Y:966 Map:1
7/18/2021 8:19:05 AM /TELEPLOC a x:1015 Y:966 Map:1
7/18/2021 8:19:08 AM /TELEPLOC a x:1015 Y:966 Map:1
7/18/2021 8:20:06 AM /TELEPLOC a x:183 Y:1232 Map:1
7/18/2021 8:20:08 AM /TELEPLOC a x:183 Y:1232 Map:1
7/18/2021 11:59:40 AM Se conecto con ip:181.170.144.170
7/18/2021 11:59:59 AM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:10 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:11 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:12 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:14 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:15 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:16 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:19 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:20 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:21 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:22 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:23 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:25 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:25 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:26 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:27 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:27 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:28 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:29 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:29 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:30 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:30 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:31 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:32 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:32 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:40 PM Transportó a deidhara hacia Mapa1 X:304 Y:854
7/18/2021 12:00:43 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:44 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:44 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:45 PM /TELEPLOC a x:193 Y:1227 Map:1
